id,instruction,output,fail_mode
1,What are some unique curtain tie backs that you can make yourself? Answer in bullet points. Answer in all lower case.,"* chain
* circle and pin
* jute rope
* wooden beaded rope
* necklack or bracelet
* door knob
* length of a leather belt
* macrame rope
* string of artificial flowers",formatting
2,Give me a list of some characteristics of a good coffee shop? answer in a paragraph.,"A good coffee shop is characterized by several key elements. First and foremost, it should offer very good coffee, either freshly roasted locally or sourced from a quality roaster. High-end coffee grinders, brewing machines, and a high-quality espresso machine operated by well-trained baristas are essential for ensuring a top-notch coffee experience. The shop should also provide a variety of coffee roast options, such as medium roast and dark roast, as well as different brewing methods like drip coffee and pour-over. Additionally, a selection of cafe fare, such as pastries and croissants, should be available for purchase to complement the coffee. Finally, ample seating with power outlets available by most seats is important for customer convenience.",formatting
4,Give me five ways in which I can make my homebrew beer more interesting. answer in json,"{
  ""tips"": [
    {
      ""title"": ""Use different hops"",
      ""description"": ""There is a huge variety of hops available to homebrewers and each of these can introduce its own particular flavour and aroma to your beer, ranging from pineapple and apricots, to pine trees and woods, to grapefruit pith and lemon zest. By using a different hop in your recipe either from the same family or from an entirely different family of hops, you can easily add interesting and often radical changes to the flavour profile of your beer. However, depending on when the hops are added in the brewing process, you can also increase/decrease the levels of bitterness of your beer, due to different hop varieties having different levels of alpha acids.""
    },
    {
      ""title"": ""Use a different yeast"",
      ""description"": ""Besides fermenting the beer, yeast leave behind lots of interesting flavours and can give your homebrew its own subtle character. For example, English yeast strains can add malty and sweet flavours, California yeast tends to create a clean and crisp beer, whilst saison yeast adds bright and fruity flavours to your beer.""
    },
    {
      ""title"": ""Use different grains"",
      ""description"": ""Changing the amount of base malts can increase or decrease the alcohol in your finished beer. Try swapping one base malt for another, like American pale malts for a British variety, and look for the subtle differences between them. You can also play around with the specialty grains, like using a slightly darker roast.""
    },
    {
      ""title"": ""Add fruit, spices or herbs"",
      ""description"": ""Fruits, spices, herbs, and other ingredients are a great way to add an entirely personal character to your homebrew. Anything from fresh strawberries and basil to vanilla beans and cardamom can really complement the other malty, hoppy flavours in a beer.""
    },
    {
      ""title"": ""Alter your water profile"",
      ""description"": ""Different beer styles will typically be best achieved with a suitable water profile, with different levels of minerals to achieve the desired flavour profile. By adjusting the amounts of specific minerals found in your brewing water, beer can be made to taste fuller bodied, sweeter, drier, more bitter, or even sour.""
    }
  ]
}",formatting
5,What is a good way to get around without a car? give numbered list,"1. If you live in a city, you can access public transport such as buses and trains.
2. You can walk.
3. You can use a bicycle.
4. You can use an electric scooter.",formatting
6,Give me a bulleted list of the 5 highest mountains in the world and their respective heights in meters,"* Mount Everest: 8,848 meters
* K2 : 8,611 meters
* Kangchenjunga: 8,586 meters
* Lhotse: 8,516 meters
* Makalu: 8,485 meters",factual correctness
7,List 6 different types of rain in Seattle,"1. Drizzle: Light, misty rain that often seems to hang in the air.
2. Showers: Short bursts of rain that can be heavy but don't last long.
3. Heavy rain: Sustained, intense rainfall that can lead to puddles and minor flooding.
4. Misty rain: Very fine droplets that create a mist-like effect.
5. Intermittent rain: Rain that starts and stops throughout the day.
6. Sprinkles: Very light rain with small droplets that barely wet the ground.",factual correctness
8,"I asked a question and got this response back: 1. Make your bike sound like it has an engine by wrapping the can around the back tire.
 2. A percussion instrument to play along with friends in a jam session. You could just crinkle it, hit it with a pen, or fill it with sand or debris and shake it. 
 3. A baking tool. You can used the bottom of the can to stamp out perfectly circle, uniform cookies from a rolled-out sheet of cookie dough.
 4. A field razor. Tear the can carefully to create an effective cutting device for emergency use.
 5. A make shift ball to throw around with friends at the park. An empty can could be a fun projectile to use in a friendly game of 3 Flies Up. what is my question?","Your question is likely: ""What are some creative ways to repurpose an empty can?""",not a full sentence
9,What are some different things you should bring with you on a day hiking trip?,"You should bring water, a snack, sunscreen, hiking boots, a first aid kit, and a cellphone.",grammar
10,What shapes are made up of straight lines? Answer concisely.,,select fail_mode
11,Help me come up with 3 ideas for a new business and how I can start it,"Sure! Here are three business ideas, along with responses on how to get them off the ground:
 
 1. ""Revolutionary Ride-Sharing"":
  - Idea: Launch a ride-sharing app with an eco-friendly twist. Offer electric car-sharing services, targeting environmentally conscious commuters.
  - How to Start: First, you'll need to secure funding from investors who care about sustainability. Develop an app that allows users to book energy-efficient rides and track their carbon footprint reduction. Partner with electric car manufacturers and local charging station networks. Launch in eco-minded cities, offering incentives for users to make the green switch.
 
 2. ""Culinary Concoctions"":
  - Idea: Create a gourmet food delivery service with a unique twist. Offer exotic, hard-to-find ingredients and ready-to-cook meal kits featuring international cuisines.
  - How to Start: Partner with specialty food suppliers and import exotic ingredients that aren't readily available in local grocery stores. Develop a user-friendly app or website where customers can select their desired cuisine and schedule deliveries. Offer weekly or monthly subscription plans for loyal foodies.
 
 3. ""AI-mazing Personal Styling"":
  - Idea: Launch an AI-powered personal styling service that offers customized fashion advice and curated shopping experiences.
  - How to Start: Develop an AI algorithm that analyzes customer preferences, body types, and fashion trends. Collaborate with a diverse range of clothing brands and retailers to offer a wide selection of styles. Create an app that allows users to input their preferences and receive personalized outfit suggestions. Offer virtual try-on experiences and seamless online shopping. ",tone
